#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
1,C/Gray,100,Finished,2,3,,3,13436 Cinderford,"1,650",$188,Available,,Jazmine F,"$309,950.00","$10,000",,"$2,102.00","$2,166.00",90.40,142.06,📁
4,,100,Finished,2,4,,3,818 Herpendem,"1,700",$206,Available,,Danielle F,"$349,950.00","$10,000",,"$2,373.00","$2,445.00",102.07,160.39,📁
2,,100,Finished,2,3,,,13448 Cinderford,"1,650",$188,Pending,,Jazmine F,"$309,950.00","$10,000",,"$2,102.00","$2,166.00",90.40,142.06,📁
3,,70,Cabinets / Countertops,2,4,,3,822 Harpendem,"1,880",$198,Pending,,Allyson II F,"$372,950.00","$8,000",,"$2,529.00","$2,606.00",108.78,170.94,📁
5,C/Gray,100,Finished,2,3,,,13420 Highworth,"1,650",$188,Pending,,Jazmine F,"$309,950.00","$10,000",,"$2,102.00","$2,166.00",90.40,142.06,📁
