#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
41,A/Beige,100,Finals,1,4,,3,15057 Destination,"1,450",$193,Available,,Mariel T,"$279,950.00","$10,000",,"$1,765","$1,823.00",80.19,126.02,📁
43,B/Greige,90,Finals,1,4,,2,15049 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00","$8,000",,"$1,733","$1,790.00",80.19,126.02,📁
45,C/Gray,90,Finals,1,4,,3,15041 Destination,"1,450",$193,Available,,Mariel T,"$279,950.00","$8,000",,"$1,765","$1,823.00",80.19,126.02,📁
87,,30,Forms,1,4,,2,15040 Function,"1,522",$183,Available,,Ayde T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
32,B/Greige,100,Finished,1,4,,2,15040 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
86,,30,Forms,1,3,,2,15036 Function,"1,527",$180,Available,,Carmella T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
47,A/Beige,90,Cabinets / Countertops,1,4,,2,15033 Destination,"1,522",$181,Available,,Ayde T,"$274,950.00","$8,000",,"$1,733","$1,790.00",80.19,126.02,📁
85,,30,Forms,1,4,,3,15032 Function,"1,450",$193,Available,,Mariel T,"$279,950.00",,No,"$1,765","$1,823.00",80.19,126.02,📁
84,,25,Forms,1,4,,2,15028 Function,"1,522",$181,Available,,Ayde T,"$274,950.00",,No,"$1,733","$1,790.00",80.19,126.02,📁
49,C/Gray,90,Cabinets / Countertops,1,4,,3,15025 Destination,"1,450",$195,Available,,Mariel T,"$282,950.00","$8,000",,"$1,784","$1,842.00",81.07,127.39,📁
83,,25,Forms,1,3,,2,15024 Function,"1,583",$176,Available,,Karla T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
90,C/Gray,70,Slab,1,3,,2,15108 Laura,"1,583",$174,Pending,,Karla,"$274,950.00","$5,000",No,"$1,733","$1,790.00",80.19,126.02,📁
39,D/Gray,100,Tile,1,4,,2,15065 Destination,"1,522",$183,Pending,,Ayde T,"$277,950.00","$10,000",,"$1,752","$1,810.00",81.07,127.39,📁
40,C/Gray,100,Cabinets / Countertops,1,3,,2,15061 Destination,"1,583",$174,Pending,,Karla T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
57,D/Gray,100,Finished,1,4,,2,3856 Perspective,"1,495",$184,Pending,,Yoli T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
54,C/Gray,0,City,1,3,,2,3845 Peak,"1,527",$180,Pending,,Carmella T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
56,B/Greige,0,City,1,3,,2,3837 Peak,"1,583",$174,Pending,,Karla T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
55,,0,City,1,4,,2,3741 Peak,"1,495",$184,Pending,,Yoli T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
15,,55,Paint,1,4,,2,3616 Bob Snead,"1,495",$177,Pending,,Yoli F,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
20,,55,Paint,1,4,,2,15228 Imagine,"1,495",$177,Pending,,Yoli,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
