#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF ,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
1,,20,City,1,3,,2,13801 Centro Vista,"1,716",$174,Available,,Helsinki,"$298,950.00",,No,"$2,182.00","$2,244.00",87.19,137.02,📁
2,,20,City,1,4,,2,13809 Centro Vista,"1,721",$174,Available,,Tokyo,"$298,950.00",,No,"$2,182.00","$2,244.00",87.19,137.02,📁
3,,20,City,1,3,,2,13813 Centro Vista,"1,658",$180,Available,,Denver,"$298,950.00",,No,"$2,182.00","$2,244.00",87.19,137.02,📁
4,,20,City,1,4,,3,13817 Centro Vista,"1,845",$162,Available,,Rio II,"$298,950.00",,No,"$2,182.00","$2,244.00",87.19,137.02,📁
5,,20,City,1,3,,2,13821 Centro Vista,"1,716",$174,Available,,Helsinki,"$298,950.00",,No,"$2,182.00","$2,244.00",87.19,137.02,📁
6,,0,City,1,4,,3,252 Park Vista,"1,845",$164,Pending,120 Days,Rio II,"$301,950.00",,No,"$2,204.00","$2,266.00",88.07,138.39,📁
