Property,Address,City,MLS #,Price,Beds,Baths,SqFt,Status,Primary Owner/Agent,Notes
12380 Fresh Water Dr,12380 Fresh Water Dr,"Horizon City, TX",,850000,4,4,3092,Active,Reggie,Listing reel live 2025-10-26
TBD – Property B,,,,,,,,Coming Soon,Reggie,
TBD – Property C,,,,,,,,Coming Soon,Reggie,
